class,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_01000661,,hard,,,,,,,volcanic eruption,hard,,,,,hard,,rock|tuff,,,volcanic eruption,,,,volcanic eruption,,
ENVO_01000662,,hard,,,,,,,volcanic eruption,hard,,,,,hard,,rock|scoria,,,volcanic eruption,,,,volcanic eruption,,
ENVO_01000663,,hard,,,,,,,volcanic eruption,hard,,,,,hard,,rock|pumice,,,volcanic eruption,,,,volcanic eruption,,
ENVO_01000676,,,dinitrogen|diatomic nitrogen,,,,,,,,,,,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|argon molecular entity|water vapour|diatomic nitrogen,,,air|contaminated air,,dioxygen|carbon oxide|carbon dioxide|dinitrogen|argon molecular entity|water vapour|diatomic nitrogen|diatomic oxygen,,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|argon molecular entity|water vapour|diatomic nitrogen,,,,,
ENVO_01000681,,,salt|sodium chloride|chlorine molecular entity,,,,,,,,,,,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,,,salt material|sodium chloride salt,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,salt|chlorine molecular entity|sodium chloride|chloride|chlorine atom|halogen,,,,,
ENVO_01000701,,,silicon molecular entity|silicon dioxide,,,,,,aerosol formation process|thermolysis|volcanic eruption|combustion process,,,,,silicon molecular entity|silicon dioxide,,,ash|volcanic ash,,silicon molecular entity|silicon dioxide,aerosol formation process|volcanic eruption|combustion process|thermolysis,silicon molecular entity|silicon dioxide,,,aerosol formation process|thermolysis|volcanic eruption|combustion process,,
ENVO_01000722,,,,,,,,hydrological melting process|melting,hydrological melting process|melting,,,,,,,,liquid water|meltwater,,,hydrological melting process|melting,,,,hydrological melting process|melting,,
ENVO_01000751,,hard,,,,,,,,hard,,,,,hard,,rock|bedrock,,,,,,,,,
ENVO_01000770,,,carbon oxide|carbon dioxide,,,,,,gas emission process|carbon dioxide emission process|hydrocarbon gas emission process,,,,,carbon oxide|carbon dioxide,,,atmospheric carbon dioxide|carbon dioxide emission,,atmosphere|fluid layer|carbon oxide|carbon dioxide,gas emission process|carbon dioxide emission process|hydrocarbon gas emission process,atmosphere|fluid layer|carbon oxide|carbon dioxide,atmosphere|fluid layer,,gas emission process|hydrocarbon gas emission process|carbon dioxide emission process,,
ENVO_01000789,,increased temperature,,,,,,,,increased temperature,,,,,increased temperature,,flame,,,,,,,,,
ENVO_01000790,,increased temperature,dioxygen|carbon oxide|carbon dioxide|dinitrogen|water vapour|diatomic nitrogen|diatomic oxygen,,,,,,aerosol formation process|thermolysis|combustion process,increased temperature,,,,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|water vapour|diatomic nitrogen,increased temperature,,flame|hydrocarbon flame,,dioxygen|carbon oxide|carbon dioxide|dinitrogen|water vapour|diatomic nitrogen|diatomic oxygen,aerosol formation process|combustion process|thermolysis,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|water vapour|diatomic nitrogen,,,aerosol formation process|thermolysis|combustion process,,
ENVO_01000798,,,,,,,,,,,,,,,,,plasma,,,,,,,,,
ENVO_01000828,,humidity|increased humidity,dinitrogen|diatomic nitrogen,,,,,,,humidity|increased humidity,,,water vapour,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|argon molecular entity|water vapour|diatomic nitrogen,humidity|increased humidity,,air|humid air,,dioxygen|carbon oxide|carbon dioxide|dinitrogen|argon molecular entity|water vapour|diatomic nitrogen|diatomic oxygen,,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|argon molecular entity|water vapour|diatomic nitrogen,,,,,
ENVO_01000829,,humidity|increased humidity,dinitrogen|diatomic nitrogen,,,,,,,humidity|increased humidity,,,water vapour,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|argon molecular entity|water vapour|diatomic nitrogen,humidity|increased humidity,,air|water vapour saturated air|humid air,,dioxygen|carbon oxide|carbon dioxide|dinitrogen|argon molecular entity|water vapour|diatomic nitrogen|diatomic oxygen,,dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|argon molecular entity|water vapour|diatomic nitrogen,,,,,
ENVO_01000838,,amorphous,,,,,,aerosol formation process|combustion process|thermolysis,aerosol formation process|thermolysis|combustion process,amorphous,,,,,amorphous,,aerosol|smoke,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_01000842,air,amorphous|chemical role|environmental contaminant,liquid water|atmospheric aerosol|aerosol|smoke|fog|aerosolised liquids,,,,,,condensation process,amorphous|chemical role|environmental contaminant,,,,liquid water|atmospheric aerosol|aerosol|smoke|fog|aerosolised liquids,amorphous,chemical role|environmental contaminant,atmospheric aerosol|aerosol|fog|aerosolised liquids|smog,atmosphere|fluid layer,atmosphere|fluid layer|liquid water|air|atmospheric aerosol|aerosol|smoke|fog|aerosolised liquids,condensation process,atmosphere|fluid layer|liquid water|atmospheric aerosol|aerosol|smoke|fog|aerosolised liquids,atmosphere|fluid layer,,condensation process,,air
ENVO_01000844,air,amorphous,liquid water,,,,,,condensation process,amorphous,,,,liquid water,amorphous,,atmospheric aerosol|aerosol|fog|aerosolised liquids,atmosphere|fluid layer,atmosphere|fluid layer|liquid water|air,condensation process,atmosphere|fluid layer|liquid water,atmosphere|fluid layer,,condensation process,,air
ENVO_01000846,,,ice|water ice,,,,,,,,,,,water ice|ice,,,water ice crystal,,ice|water ice,,water ice|ice,,,,,
ENVO_01000847,,,,,,,,,,,,,,,,,water ice|ice|hair ice,terrestrial biome|terrestrial ecosystem|forest biome|broadleaf forest biome|broadleaf forest|forest ecosystem,,,,,,,,
ENVO_01000850,,,,,,,,,,,,,,,,,clathrate material,,,,,,,,,
ENVO_01000851,,,,,,,,,,,,,,,,,clathrate material|methane clathrate,,,,,,,,,
ENVO_01000853,,,salt|calcium carbonate|calcium molecular entity|carbonates|carbonate salt|alkaline earth salt,,,,,,,,,,,clay|silt|salt|calcium carbonate|calcium molecular entity|carbonate|carbonates|alkaline earth cation|carbonate salt|divalent metal cation|alkaline earth salt|divalent inorganic cation,,,marl,,clay|silt|salt|calcium carbonate|calcium molecular entity|carbonate|carbonates|alkaline earth cation|carbonate salt|divalent metal cation|divalent inorganic cation|alkaline earth salt,,clay|silt|calcium carbonate|calcium molecular entity|salt|carbonate|carbonates|alkaline earth cation|carbonate salt|divalent metal cation|divalent inorganic cation|alkaline earth salt,,,,,
ENVO_01000872,,,,,,,,,,,,,,,,,liquid water|ballast water,manufactured product|ballast tank,,,,,,,,
ENVO_01000939,,,,,,,,,,,,,,,,,time crystal,,,,,,,,,
ENVO_01000940,,,,,,,,,,,,,,,,,liquid water|fissure water,,,,,,geological fracture,,,
ENVO_01000962,,hard,,,,,,,,hard,,,,aluminium molecular entity|silicon molecular entity|silicon dioxide|iron molecular entity|iron oxide|aluminium oxides|aluminium oxide,hard,,rock|sedimentary rock,,aluminium molecular entity|silicon molecular entity|silicon dioxide|iron molecular entity|iron oxide|aluminium oxides|aluminium oxide,,silicon molecular entity|silicon dioxide|aluminium molecular entity|iron molecular entity|iron oxide|aluminium oxides|aluminium oxide,,,,,
ENVO_01000964,,waste role,,,,,,,,waste role,,,,,,waste role,liquid water|waste material|industrial wastewater|waste water|contaminated water,,,,,,,,,
ENVO_01001004,,,,,,,,,,,,,,,,,liquid water|groundwater|underground water,aquifer,,,,,,,,
ENVO_01001018,,,,,,,,,,,,,,,,,liquid water|hypereutrophic water|eutrophic water,,,,,,,,,
ENVO_01001028,liquid water|fresh water,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|sediment permeated by freshwater,,liquid water|fresh water,,,,,,,liquid water|fresh water
ENVO_01001036,liquid water|saline water,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|sediment permeated by saline water,,liquid water|saline water,,,,,,,liquid water|saline water
ENVO_01001037,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,halogen|chlorine molecular entity|salt|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|slightly saline water,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,,,,
ENVO_01001038,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,halogen|chlorine molecular entity|salt|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|moderately saline water,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,,,,
ENVO_01001039,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,halogen|chlorine molecular entity|salt|chlorine atom|sodium chloride|chloride,increased osmolarity|osmolarity,,liquid water|saline water|highly saline water,,salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,,,,
ENVO_01001059,,,,,,,,,,,,,,microbial community|multi-species collection of microbes,,,mock community culture,,microbial community|multi-species collection of microbes,,microbial community|multi-species collection of microbes,,,,,
ENVO_01001063,,increased concentration,,,,,,,,increased concentration,,,,,increased concentration,,liquid water|oxic water,,,,,,,,,
ENVO_01001064,,decreased quality|decreased concentration,,,,,,,,decreased quality|decreased concentration,,,,,decreased quality|decreased concentration,,liquid water|hypoxic water,,,,,,,,,
ENVO_01001069,,donor|electron donor|chemical role|opaque|optical quality|quality of interaction of a substance with electromagnetic radiation|opacity,,,,,,,,donor|electron donor|chemical role|opaque|optical quality|quality of interaction of a substance with electromagnetic radiation|opacity,,,,,quality of interaction of a substance with electromagnetic radiation|opaque|optical quality|opacity,donor|electron donor|chemical role,metallic material,,,,,,,,,
ENVO_01001088,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,aerosol|aerosolised liquids,,air,,,,,,,air
ENVO_01001089,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,aerosol|aerosolised solids,,air,,,,,,,air
ENVO_01001103,,granular,,,,,,,,granular,,,,,granular,,detritus,,,,,,,,,
ENVO_01001113,,,plant matter,,,,,,anthropogenic environmental process,,,,,plant matter,,,forage material,,plant matter,anthropogenic environmental process,plant matter,,,anthropogenic environmental process,,
ENVO_01001116,,,,,,,,,,,,,,,,,animal manure|manure|bovine dairy liquid manure,,,,,,,,,
ENVO_01001117,,,,,,,,,,,,,,,,,animal manure|manure|poultry manure,,,,,,,,,
ENVO_01001118,,,,,,,,,,,,,,,,,animal manure|manure|heat-treated animal manure,,,,,,,,,
ENVO_01001119,,,,,,,,,,,,,,,,,animal manure|manure|composted animal manure,,,,,,,,,
ENVO_01001121,,,,,,,,,,,,,,,,,plant matter,,,,,,,,,
ENVO_01001125,,,,,,,,,,,,,,,,,ice,,,,,,,,,
ENVO_01001138,,,carbon oxide|carbon dioxide,,,,,,,,,,,carbon oxide|carbon dioxide,,,ice,,carbon oxide|carbon dioxide,,carbon oxide|carbon dioxide,,,,,
ENVO_01001139,,fuel|combustibility,alkane|methane|aliphatic compound,,,,,,,fuel|combustibility,,,,alkane|methane|aliphatic compound,,fuel,ice|methane ice,,alkane|methane|aliphatic compound,,alkane|methane|aliphatic compound,,,,,
ENVO_01001140,,,pnictogen hydride|azane|ammonia,,,,,,,,,,,azane|pnictogen hydride|ammonia,,,ice|ammonia ice,,pnictogen hydride|azane|ammonia,,pnictogen hydride|azane|ammonia,,,,,
ENVO_01001141,,,carbon oxide,,,,,,,,,,,carbon oxide,,,ice,,carbon oxide,,carbon oxide,,,,,
ENVO_01001185,,porous|porosity|medium acidity|acidic,,,,,,,,porous|porosity|medium acidity|acidic,,,,clay|sand|silt,porous|porosity|medium acidity|acidic,,soil|acidic soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001186,,medium acidity|acidic,silicon molecular entity|silicon dioxide,,,,,,aerosol formation process|thermolysis|volcanic eruption|combustion process,medium acidity|acidic,,,,silicon molecular entity|silicon dioxide,medium acidity|acidic,,ash|acidic volcanic ash|volcanic ash,,silicon molecular entity|silicon dioxide,aerosol formation process|volcanic eruption|combustion process|thermolysis,silicon molecular entity|silicon dioxide,,,aerosol formation process|thermolysis|volcanic eruption|combustion process,,
ENVO_01001189,,,,,,,,,,,,,,,,,algal material,,,,,,,,,
ENVO_01001190,,brown|optical quality|quality of interaction of a substance with electromagnetic radiation|color,,,liquid water|saline water|sea water,,,,freezing|freezing of water into water ice,quality of interaction of a substance with electromagnetic radiation|brown|optical quality|color,,,,,quality of interaction of a substance with electromagnetic radiation|brown|optical quality|color,,sea ice|water ice|ice|brown sea ice,,,freezing of water into water ice|freezing,,,,freezing|freezing of water into water ice,,
ENVO_01001202,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,alluvium,,,,,,,,,
ENVO_01001203,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|alluvial sediment,,,,,,,,,
ENVO_01001204,,hard,,,,,,lithification,lithification,hard,,,,,hard,,rock|alluvial deposit,,,lithification,,,,lithification,,
ENVO_01001231,,,,,,,,,,,,,,,,,kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001232,,,,,,,,,,,,,,,,,sapropelic kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001233,,,,,,oil|petroleum,,,,,,,,,,,labile kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001234,,,,,,hydrocarbon gas,,,,,,,,,,,recalcitrant kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001235,,,,,planktonic material,oil|petroleum|hydrocarbon gas,,,,,,,sulfur molecular entity,sulfur molecular entity,,,planktonic kerogen|kerogen,,sulfur molecular entity,,sulfur molecular entity,,rock|sedimentary rock,,,
ENVO_01001236,,,,,planktonic material,oil|petroleum|hydrocarbon gas,,,,,,,sulfur molecular entity,sulfur molecular entity,,,planktonic kerogen|sulfrous kerogen|kerogen,,sulfur molecular entity,,sulfur molecular entity,,rock|sedimentary rock,,,
ENVO_01001237,,,,,Eukaryota|Viridiplantae,,,,,,,,,,,,humic kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001238,,fuel|combustibility,polycyclic hydrocarbon|cyclic hydrocarbon,,,,,,,fuel|combustibility,,,,polycyclic hydrocarbon|cyclic hydrocarbon,,fuel,residual kerogen|kerogen,,polycyclic hydrocarbon|cyclic hydrocarbon,,polycyclic hydrocarbon|cyclic hydrocarbon,,rock|sedimentary rock,,,
ENVO_01001257,,osmolarity|increased osmolarity,,,liquid water|saline water|sea water,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,halogen|chlorine molecular entity|salt|chlorine atom|sodium chloride|chloride,increased osmolarity|osmolarity,,liquid water|saline water|saline shrimp pond water,,hydrosphere|shrimp pond|salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,hydrosphere|shrimp pond|halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,hydrosphere|shrimp pond,,crustacean farming process|animal aquaculture process|anthropogenic environmental process,,
ENVO_01001258,air,amorphous,liquid water,,,,,gas emission process,gas emission process|condensation process,amorphous,,,,liquid water|sulfur molecular entity,amorphous,,atmospheric aerosol|aerosol|fog|aerosolised liquids|vog,atmosphere|fluid layer,atmosphere|fluid layer|liquid water|air|sulfur molecular entity,gas emission process|condensation process,atmosphere|fluid layer|liquid water|sulfur molecular entity,atmosphere|fluid layer,,gas emission process|condensation process,,air
ENVO_01001267,,,,,,,,,,,,,,,,,liquid water|stormwater,,,,,,,,,
ENVO_01001268,,,,construction|anthropogenic environment|human construction|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem|technosphere|Dipnotetrapodomorpha|Boreoeutheria|Eutheria|Homo|Homininae|Hominidae|Euarchontoglires|Simiiformes|Hominoidea|Tetrapoda|Amniota|Theria <mammals>|Bilateria|Chordata|Deuterostomia|Mammalia|Vertebrata <vertebrates>|Primates|Homo sapiens|dense settlement biome|urban biome|Craniata <chordates>|Haplorrhini|Catarrhini|Gnathostomata <vertebrates>|Opisthokonta|Eukaryota|dense settlement|Teleostomi|Euteleostomi|Sarcopterygii|environmental system determined by an organism|animal-associated environment|human settlement,,,,,,,,,,,,,liquid water|urban stormwater|stormwater,construction|anthropogenic environment|human construction|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem|technosphere|Sarcopterygii|Dipnotetrapodomorpha|Boreoeutheria|Eutheria|Homo|Homininae|Hominidae|Euarchontoglires|Simiiformes|Hominoidea|Tetrapoda|Amniota|Theria <mammals>|Bilateria|Chordata|Deuterostomia|Mammalia|Vertebrata <vertebrates>|Primates|Homo sapiens|dense settlement biome|urban biome|Craniata <chordates>|anthropised terrestrial environmental zone|area of developed space|Haplorrhini|Catarrhini|Gnathostomata <vertebrates>|Opisthokonta|Eukaryota|dense settlement|Teleostomi|Euteleostomi|environmental system determined by an organism|animal-associated environment|human settlement,,,,,,,,
ENVO_01001270,,,,anthropogenic environment|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem,,,,,,,,,,,,,liquid water|rural stormwater|stormwater,anthropogenic environment|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem|rural area|anthropised terrestrial environmental zone,,,,,,,,
ENVO_01001282,,dry|granular,silicon molecular entity|silicon dioxide,,,,,,,dry|granular,,,,silicon molecular entity|silicon dioxide,dry|granular,,dust|silica dust,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01001283,,dry|granular,aluminium molecular entity,,,,,,,dry|granular,,,,aluminium molecular entity,dry|granular,,dust|aluminium dust,,aluminium molecular entity,,aluminium molecular entity,,,,,
ENVO_01001284,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|barium dust,,,,,,,,,
ENVO_01001285,,dry|granular,Talc,,,,,,,dry|granular,,,,Talc,dry|granular,,dust|talc dust,,Talc,,Talc,,,,,
ENVO_01001286,,dry|granular,,,rock|slate|metamorphic rock,,,,,dry|granular,,,,,dry|granular,,dust|slate dust,,,,,,,,,
ENVO_01001288,,dry|granular,mixture|kaolin,,,,,,,dry|granular,,,,mixture|kaolin|kaolinite,dry|granular,,dust|kaolin dust,,mixture|kaolin|kaolinite,,mixture|kaolin|kaolinite,,,,,
ENVO_01001391,,,,,,,,,,,,,,,,,,,respiratory system|gill|organ,,respiratory system|gill|organ,,,,,
ENVO_01001392,,,,,,,,,,,,,,,,,,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,,,,
ENVO_01001393,,,,,,,,,,,,,,,,,,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,,,,
ENVO_01001395,,,,,,,,,,,,,,,,,necromass,,,,,,,,,
ENVO_01001396,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,clay|abyssal clay,,landform|surface landform|plain|abyssal plain,,landform|surface landform|plain|abyssal plain,landform|surface landform|plain|abyssal plain,,,,
ENVO_01001397,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|ultisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001402,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,atmospheric aerosol|aerosol|aerosolised solids|haze,,atmosphere|fluid layer|air,,atmosphere|fluid layer,atmosphere|fluid layer,,,,air
ENVO_01001458,air,amorphous,liquid water,,,,,,condensation process,amorphous,,,,liquid water,amorphous,,atmospheric aerosol|aerosol|aerosolised liquids|mist,atmosphere|fluid layer,atmosphere|fluid layer|liquid water|air,condensation process,atmosphere|fluid layer|liquid water,atmosphere|fluid layer,,condensation process,,air
ENVO_01001511,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,ice|water ice|freshwater ice,,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001512,liquid water|water ice|sea ice|ice|saline water|sea water,,,,liquid water|saline water|sea water,,,,freezing|freezing of water into water ice,,,,,,,,sea ice|water ice|ice|congelation sea ice,,liquid water|sea ice|ice|water ice|saline water|sea water,freezing of water into water ice|freezing,water ice|sea ice|ice,sea ice|water ice|ice,,freezing|freezing of water into water ice,,liquid water|water ice|sea ice|ice|saline water|sea water
ENVO_01001513,,,,,,,,,,,,,,,,,water ice|ice|permafrost congelation ice,,permafrost,,permafrost,permafrost,,,,
ENVO_01001514,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,water ice|ice|congelation ice in a fresh water body|freshwater congelation ice|freshwater ice,,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001515,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,water ice|ice|freshwater congelation ice|freshwater ice,,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001516,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,water ice|ice|freshwater congelation ice|ice cave congelation ice|freshwater ice,surface landform|landform|cave,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001523,,decreased quality|decreased size,,,liquid water|fresh water,,,,new ice formation process|water ice formation process,decreased quality|decreased size,,,,,decreased quality|decreased size,,water ice|ice|frazil|new ice,,,new ice formation process|water ice formation process,,,liquid water,new ice formation process|water ice formation process,,
ENVO_01001525,,porous|porosity|hard|frozen,,,,,,,,porous|porosity|hard|frozen,,,,clay|sand|water ice|silt|ice,porous|hard|porosity|frozen,,soil|hard-frozen soil|frozen soil,,frozen land|pedosphere|sand|clay|silt|ice|water ice,,pedosphere|frozen land|clay|sand|water ice|silt|ice,frozen land|pedosphere,,,,
ENVO_01001526,,porous|porosity|frozen,,,,,,,,porous|porosity|frozen,,,,clay|sand|silt,porous|porosity|frozen,,soil|frozen soil,,pedosphere|frozen land|clay|sand|silt,,pedosphere|frozen land|clay|sand|silt,pedosphere|frozen land,,,,
ENVO_01001527,,porous|porosity|frozen,,,,,,,,porous|porosity|frozen,,,,liquid water|clay|sand|silt,porous|porosity|frozen,,soil|plastic-frozen soil|frozen soil,,frozen land|pedosphere|clay|liquid water|sand|silt,,pedosphere|frozen land|clay|liquid water|sand|silt,pedosphere|frozen land,,,,
ENVO_01001528,,porous|porosity|hard|frozen,,,,,,,,porous|porosity|hard|frozen,,,,clay|sand|water ice|silt|ice,porous|hard|porosity|frozen,,soil|frozen soil|friable-frozen soil,,frozen land|pedosphere|sand|clay|silt|ice|water ice,,pedosphere|frozen land|clay|sand|water ice|silt|ice,frozen land|pedosphere,,,,
ENVO_01001557,,,,,,,,,freezing|freezing of water into water ice,,,,,,,,water ice|ice,,,freezing|freezing of water into water ice,,,,freezing|freezing of water into water ice,,
ENVO_01001560,,,,,,,,,,,,,,,,,colloidal suspension,,,,,,,,,
ENVO_01001561,,,,,,,,,,,,,,,,,gel,,,,,,,,,
ENVO_01001562,,,,,,,,,,,,,,,,,hydrogel|gel,,,,,,,,,
ENVO_01001563,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,quicksand,,,,,,,,,
ENVO_01001608,,fuel|fossil fuel|hydrophobicity|combustibility|hydrophobic,,,oil|petroleum,,,,,fuel|fossil fuel|combustibility|hydrophobicity|hydrophobic,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|kerosene oil|fuel oil,,,,,,,,,
ENVO_01001614,,decreased temperature|decreased quality,,,,,,,,decreased temperature|decreased quality,,,,water ice|ice,decreased temperature|decreased quality,,permafrost|ice-bearing permafrost,,ice|water ice,,water ice|ice,,,,,
ENVO_01001616,fluid layer|troposphere|atmospheric layer,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|bare soil,,pedosphere|fluid layer|clay|sand|silt|troposphere|atmospheric layer,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001638,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|frost-susceptible soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001644,,,carbonates,,,,,,,,,,,carbonates,,,material primarily composed of biogenic carbonates,,carbonates,,carbonates,,,,,
ENVO_01001646,,,,,,,,,,,,,,,,,amorphous solid,,,,,,,,,
ENVO_01001647,,,,,,,,,,,,,,,,,colloidal suspension|colloid suspended in a hydrosphere,,hydrosphere,,hydrosphere,hydrosphere,,,,
ENVO_01001648,,,colloidal sediment|sediment,,,,,,,,,,,colloidal sediment|sediment,,,suspended colloidal sediment|colloidal suspension|colloid suspended in a hydrosphere,,hydrosphere|colloidal sediment|sediment,,hydrosphere|colloidal sediment|sediment,hydrosphere,,,,
ENVO_01001649,,,,,,,,,,,,,,,,,heavy fraction material,,,,,,,,,
ENVO_01001650,,,,,,,,,,,,,,,,,light fraction material,,,,,,,,,
ENVO_01001651,liquid water,granular,,,,,,,,granular,,,,,granular,,waterborne particulate matter|particulate matter in a hydrosphere,,liquid water,,,,,,,liquid water
ENVO_01001652,,amorphous,,,,,,,,amorphous,,,,,amorphous,,atmospheric aerosol|aerosol,,atmosphere|fluid layer,,atmosphere|fluid layer,atmosphere|fluid layer,,,,
ENVO_01001820,,,,,,,,,,,,,,,,,cultured organic material,,,,,,,,,
ENVO_01001821,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,liquid water|leachate|hydrothermal fluid,porous|porosity|granular,,sediment|hydrothermally-influenced sediment,,liquid water|leachate|hydrothermal fluid,,liquid water|leachate|hydrothermal fluid,,,,,
ENVO_01001841,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|andosol|volcanic soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001845,,,water ice crystal,,,,,desublimation of water vapour into ice|desublimation process,desublimation of water vapour into ice|desublimation process,,,,,water ice|ice|water ice crystal,,,frost|hoar,,ice|water ice|water ice crystal,desublimation of water vapour into ice|desublimation process,water ice|ice|water ice crystal,,,desublimation of water vapour into ice|desublimation process,,
ENVO_01001846,,,water ice crystal,,,,,desublimation of water vapour into ice|desublimation process,desublimation of water vapour into ice|desublimation process,,,,,water ice|ice|water ice crystal,,,frost|depth hoar|hoar,,ice|water ice|water ice crystal,desublimation of water vapour into ice|desublimation process,water ice|ice|water ice crystal,,,desublimation of water vapour into ice|desublimation process,,
