class	acts upstream of or within	adjacent to	bearer of	capable of	capable of part of	causal agent in process	causal relation between entities	causal relation between material entity and a process	causally influenced by	causally related to	composed primarily of	contained in	contains process	continuous with	derives from	derives from part of	derives into	determined by	determined by part of	device utilizes material	formed as result of	functionally related to	generates	has characteristic	has component	has function	has increased levels of	has part	has quality	has role	http://www.w3.org/2000/01/rdf-schema#subClassOf	involved in	involved in or involved in regulation of	located in	location of	mereotopologically related to	obsolete contained in	output of	overlaps	part of	part of structure that is capable of	partially overlaps	partially surrounded by	participates in	spatially disjoint from	surrounded by
ENVO_01000500											brick material																	masonry unit|brick material|brick			building wall|exterior wall|brick exterior wall					brick|brick material|masonry unit			brick|brick material|masonry unit							
ENVO_01000501																															masonry unit|brick|burnt brick															
ENVO_01000502																															masonry unit|brick|unburnt brick															
ENVO_01000503											brick material																	masonry unit|brick material|brick|burnt brick			building wall|exterior wall|brick exterior wall|burnt-brick exterior wall					brick|brick material|burnt brick|masonry unit			brick|brick material|burnt brick|masonry unit							
ENVO_01000504											brick material																	masonry unit|brick material|brick|unburnt brick			building wall|exterior wall|brick exterior wall|unburnt-brick exterior wall					brick|brick material|unburnt brick|masonry unit			brick|brick material|unburnt brick|masonry unit							
ENVO_01000505											salt material																	salt material			salt mass|salt dome					salt material			salt material							
ENVO_01000506											concrete																	concrete|masonry unit|masonry cement|concrete masonry unit			building wall|exterior wall|concrete exterior wall					concrete|masonry unit|masonry cement|concrete masonry unit			concrete|masonry cement|concrete masonry unit|masonry unit							
ENVO_01000507																															iron sheet															
ENVO_01000508																															salt material															
ENVO_01000509																												iron sheet			building wall|exterior wall|sheet-iron exterior wall					iron sheet			iron sheet							
ENVO_01000510																												iron sheet			building roof|sheet-iron building roof					building envelope|iron sheet			building envelope|iron sheet	building envelope						
ENVO_01000511											agricultural environmental material|thatch																	agricultural environmental material|thatch			building roof|thatched building roof					building envelope|agricultural environmental material|thatch			building envelope|agricultural environmental material|thatch	building envelope						
ENVO_01000512																												wood			building roof|wooden building roof					building envelope|wood			building envelope|wood	building envelope						
ENVO_01000513																															building roof|asbestos building roof					building envelope			building envelope	building envelope						
ENVO_01000514																															tile															
ENVO_01000515																												tile			building roof|tiled building roof					building envelope|tile			building envelope|tile	building envelope						
ENVO_01000516																															toilet fixture|plumbing fixture															
ENVO_01000517																												latrine pit|pit			toilet fixture|plumbing fixture|latrine|pit latrine					latrine pit|pit			latrine pit|pit							
ENVO_01000518																					rock-precursor intrusion process	rock-precursor intrusion process									diapir|intrusion|rock intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000519																															toilet fixture|plumbing fixture|latrine															
ENVO_01000520																															latrine slab															
ENVO_01000521											igneous rock										rock-precursor intrusion process|igneous intrusion process	rock-precursor intrusion process|igneous intrusion process						igneous rock			batholith|igneous intrusion|intrusion|rock intrusion					igneous rock		rock-precursor intrusion process|igneous intrusion process	igneous rock					rock-precursor intrusion process|igneous intrusion process		
ENVO_01000522																															latrine pit|pit															
ENVO_01000523																												latrine slab|latrine pit|pit			toilet fixture|plumbing fixture|latrine|pit latrine|pit latrine with slab floor					latrine slab|latrine pit|pit			latrine slab|latrine pit|pit							
ENVO_01000524																															outhouse															
ENVO_01000525																					rock-precursor intrusion process	rock-precursor intrusion process									intrusion|rock intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000526											sedimentary rock										rock-precursor intrusion process	rock-precursor intrusion process						sedimentary rock			sedimentary intrusion|rock intrusion|intrusion					sedimentary rock		rock-precursor intrusion process	sedimentary rock					rock-precursor intrusion process		
ENVO_01000527																															toilet fixture|plumbing fixture|flush toilet fixture															
ENVO_01000528																															toilet fixture|plumbing fixture|dry toilet fixture															
ENVO_01000529																															toilet fixture|plumbing fixture|chemical toilet fixture															
ENVO_01000530																												latrine pit|pit			toilet fixture|plumbing fixture|latrine|pit latrine|ventilated improved pit latrine					latrine pit|pit			latrine pit|pit							
ENVO_01000531																												toilet fixture|plumbing fixture|latrine|outhouse			covered latrine					toilet fixture|plumbing fixture|latrine|outhouse			toilet fixture|plumbing fixture|latrine|outhouse							
ENVO_01000532																												toilet fixture|plumbing fixture|latrine pit|pit latrine|latrine|outhouse|pit			covered latrine|covered pit latrine					toilet fixture|plumbing fixture|latrine|latrine pit|pit latrine|outhouse|pit			toilet fixture|plumbing fixture|latrine pit|pit latrine|latrine|outhouse|pit							
ENVO_01000533																												toilet fixture|plumbing fixture|latrine slab|latrine pit|pit latrine|latrine|outhouse|pit			covered latrine|covered pit latrine|covered pit latrine with slab floor					toilet fixture|plumbing fixture|latrine|latrine slab|latrine pit|pit latrine|outhouse|pit			toilet fixture|plumbing fixture|latrine slab|latrine pit|pit latrine|latrine|outhouse|pit							
ENVO_01000534																															toilet fixture|plumbing fixture|flush toilet fixture|pour-flush toilet fixture															
ENVO_01000535																												latrine pit|pit			toilet fixture|plumbing fixture|latrine|pit latrine|pour-flush pit latrine					latrine pit|pit			latrine pit|pit							
ENVO_01000536																												industrial building			industrial building|factory					industrial building			industrial building					usage of an environment for industry		
ENVO_01000537																															atmospheric ozone															
ENVO_01000538		troposphere|mesosphere																													stratosphere					troposphere|mesosphere									troposphere|mesosphere	
ENVO_01000539		stratosphere|thermosphere																													mesosphere					stratosphere|thermosphere									stratosphere|thermosphere	
ENVO_01000540		stratosphere																													troposphere					stratosphere									stratosphere	
ENVO_01000541		mesosphere																													thermosphere					mesosphere									mesosphere	
ENVO_01000542																															ozone layer					stratosphere			stratosphere	stratosphere						
ENVO_01000544																															boundary layer															
ENVO_01000545																												thermosphere			ionosphere					thermosphere|mesosphere|exosphere			thermosphere|mesosphere|exosphere							
ENVO_01000546		thermosphere																													exosphere					thermosphere									thermosphere	
ENVO_01000547																					precipitation process|hydrological precipitation process|water-based rainfall|freezing rainfall	precipitation process|hydrological precipitation process|water-based rainfall|freezing rainfall									cryoform|water ice layer|cryospheric layer|glaze ice layer					cryosphere		precipitation process|hydrological precipitation process|water-based rainfall|freezing rainfall	cryosphere	cryosphere				precipitation process|hydrological precipitation process|water-based rainfall|freezing rainfall		
ENVO_01000548											eutrophic water																	eutrophic water			eutrophic lake					eutrophic water			eutrophic water							
ENVO_01000550																															toilet fixture|plumbing fixture|dry toilet fixture|composting toilet															
ENVO_01000551																															oil|hydrocarbon-based environmental material|fuel oil|paraffin oil															
ENVO_01000552																															hydrocarbon-based environmental material|natural gas|hydrocarbon gas															
ENVO_01000553																															hydrocarbon-based environmental material|liquefied hydrocarbon gas|liquefied petroleum gas															
ENVO_01000554																															hydrocarbon-based environmental material|hydrocarbon gas															
ENVO_01000555																															hydrocarbon-based environmental material|natural gas|compressed natural gas|hydrocarbon gas															
ENVO_01000556																															hydrocarbon-based environmental material|biogas|hydrocarbon gas															
ENVO_01000557																															hydrocarbon-based environmental material|liquefied hydrocarbon gas|liquefied natural gas															
ENVO_01000558																															hydrocarbon-based environmental material|liquefied hydrocarbon gas															
ENVO_01000559																															hydrocarbon-based environmental material|biogas|compressed biogas|hydrocarbon gas															
ENVO_01000560																						pyrolysis|thermolysis|aerosol formation process									hydrocarbon-based environmental material|charcoal							pyrolysis|thermolysis|aerosol formation process						pyrolysis|thermolysis|aerosol formation process		
ENVO_01000561																															paraffin lamp|lamp															
ENVO_01000562																															paraffin lamp|lamp|flat-wick lamp															
ENVO_01000563																															paraffin lamp|lamp|central-draught lamp															
ENVO_01000564																															paraffin lamp|lamp|central-draught lamp|mantle lamp															
ENVO_01000565																												lamp			lantern					lamp			lamp							
ENVO_01000566																															lamp															
ENVO_01000567																												paraffin lamp|lamp			lantern|paraffin lantern					paraffin lamp|lamp			paraffin lamp|lamp							
ENVO_01000568																												paraffin lamp|lamp			tubular paraffin lantern|lantern|paraffin lantern					paraffin lamp|lamp			paraffin lamp|lamp							
ENVO_01000569																												paraffin lamp|lamp			dead flame paraffin lantern|lantern|paraffin lantern					paraffin lamp|lamp			paraffin lamp|lamp							
ENVO_01000570																												paraffin lamp|lamp			tubular paraffin lantern|hot-blast paraffin lantern|lantern|paraffin lantern					paraffin lamp|lamp			paraffin lamp|lamp							
ENVO_01000571																												paraffin lamp|lamp			tubular paraffin lantern|cold-blast paraffin lantern|lantern|paraffin lantern					paraffin lamp|lamp			paraffin lamp|lamp							
ENVO_01000572																															lamp|electric lamp															
ENVO_01000573																															lamp|electric lamp|battery-powered electric lamp															
ENVO_01000574											wax																	wax			lamp|candle					wax			wax							
ENVO_01000575																															wax															
ENVO_01000576																															agricultural ecosystem|apiary															
ENVO_01000577																															radio device															
ENVO_01000578																															cassette player															
ENVO_01000579																															television set															
ENVO_01000580																															telephone															
ENVO_01000581																															telephone|mobile phone															
ENVO_01000582																															telephone|landline telephone															
ENVO_01000583																															refrigerator															
ENVO_01000584																															piece of furniture|table															
ENVO_01000585																															piece of furniture|table|desk															
ENVO_01000586																															piece of furniture|chair															
ENVO_01000587																															piece of furniture															
ENVO_01000588																															piece of furniture|sofa|bench															
ENVO_01000589																															piece of furniture|bench															
ENVO_01000590																															piece of furniture|mattress															
ENVO_01000591																															piece of furniture|bed frame															
ENVO_01000592																															piece of furniture|bed base															
ENVO_01000593																												piece of furniture|mattress|bed frame|bed base			piece of furniture|framed bed					piece of furniture|mattress|bed frame|bed base			piece of furniture|mattress|bed frame|bed base							
ENVO_01000594																															piece of furniture|cabinet															
ENVO_01000595																															piece of furniture|cabinet|cupboard															
ENVO_01000596																															clock															
ENVO_01000597																															lamp|pressure lamp															
ENVO_01000598																															spring|freshwater spring															
ENVO_01000599																															stream water|river water					river			river	river						
ENVO_01000600																						precipitation process|hydrological precipitation process									rainwater							precipitation process|hydrological precipitation process						precipitation process|hydrological precipitation process		
ENVO_01000601																												motor			vehicle|motor vehicle					motor			motor							
ENVO_01000602																												motor			vehicle|motor vehicle|truck					motor			motor							
ENVO_01000603																												motor			vehicle|motor vehicle|truck|water truck					motor			motor							
ENVO_01000604																															vehicle															
ENVO_01000605																												motor			vehicle|motor vehicle|car					motor			motor							
ENVO_01000606																															vehicle|cart															
ENVO_01000607																															vehicle|cart|animal-drawn cart															
ENVO_01000608																															vehicle|boat|watercraft															
ENVO_01000609																												motor			vehicle|motor vehicle|boat|motor boat|watercraft					motor			motor							
ENVO_01000610																															motor															
ENVO_01000611																												motor			vehicle|motor vehicle|bus					motor			motor							
ENVO_01000612																												motor			vehicle|motor vehicle|car|taxicab					motor			motor							
ENVO_01000613																															vehicle|watercraft															
ENVO_01000614																															vehicle|bicycle															
ENVO_01000615																												motor			vehicle|motor vehicle|motorcycle					motor			motor							
ENVO_01000616																												motor			vehicle|motor vehicle|motorcycle|motorscooter					motor			motor							
ENVO_01000619																															closed ecological system|biomaterial containment unit|vivarium															
ENVO_01000620																															mesocosm|biomaterial containment unit|vivarium															
ENVO_01000621																															microcosm|biomaterial containment unit|vivarium															
ENVO_01000625																															manufactured cage															
ENVO_01000626																															agricultural ecosystem|drylot|feedlot															
ENVO_01000627																															agricultural ecosystem|feedlot															
ENVO_01000628																															plant litter															
ENVO_01000632																					rock-precursor intrusion process	rock-precursor intrusion process									chonolith|intrusion|rock intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000636																															liquid planetary surface|liquid surface of an astronomical body															
ENVO_01000637																															outer space															
ENVO_01000638																															planetary crust															
ENVO_01000640		planetary crust																													planetary mantle					planetary crust									planetary crust	
ENVO_01000641																															planetary core															
ENVO_01000642																															planetary core|outer planetary core															
ENVO_01000643																															planetary core|inner planetary core															
ENVO_01000644																															planetary core|liquid planetary core															
ENVO_01000645																															planetary core|solid planetary core															
ENVO_01000646																												planetary crust			lithosphere					planetary crust|planetary mantle			planetary crust|planetary mantle							
ENVO_01000647		lithosphere																													asthenosphere					lithosphere									lithosphere	
ENVO_01000648																															magma															
ENVO_01000649																															trench															
ENVO_01000650																												bank			stream channel					bank			bank							
ENVO_01000651																												bank			strait|ocean strait					bank			bank							
ENVO_01000652																												bank			stream channel|river channel				river	bank			bank							
ENVO_01000653																															dense settlement|animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|slum					dense settlement|city|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement			dense settlement|city|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement	dense settlement|city|animal-associated environment|dense settlement biome|urban biome|environmental system determined by an organism|human settlement|environment associated with an animal part or small animal						
ENVO_01000654																															trough|undersea trough					marine bed			marine bed	marine bed						
ENVO_01000658																															dense settlement|animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement															
ENVO_01000659											igneous rock										rock-precursor intrusion process	rock-precursor intrusion process						igneous rock			rock intrusion|igneous intrusion|intrusion					igneous rock		rock-precursor intrusion process	igneous rock					rock-precursor intrusion process		
ENVO_01000660																						explosive eruption									tephra							explosive eruption						explosive eruption		
ENVO_01000661																															tuff															
ENVO_01000662																															scoria															
ENVO_01000663																															pumice															
ENVO_01000664											tuff				volcanic cone|ash cone|volcanic feature	volcanic cone|ash cone|volcanic feature												tuff			volcanic cone|tuff cone|volcanic feature					tuff			tuff							
ENVO_01000666		atmospheric boundary layer|boundary layer																													fiat part of an astronomical object|area of open water					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_01000667																															geological fracture															
ENVO_01000668																															geological fracture|geological fault															
ENVO_01000669																															geological fracture|geological fault|active geological fault													tectonic movement		
ENVO_01000670																															geological fracture|vein															
ENVO_01000671																					rock-precursor intrusion process	rock-precursor intrusion process									rock intrusion|dike|intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000672																															geological fracture|geological joint															
ENVO_01000673																															geological fracture|shear fracture															
ENVO_01000674																															geological fracture|microfracture															
ENVO_01000675		outer space																													fiat part of an astronomical object|atmospheric column					outer space									outer space	
ENVO_01000676																															contaminated air															
ENVO_01000680											contaminated water																	contaminated water			polluted lake					contaminated water			contaminated water							
ENVO_01000681																															salt material|sodium chloride salt															
ENVO_01000686																															marine water mass															
ENVO_01000688																															lake coast															
ENVO_01000701																						thermolysis|aerosol formation process|combustion process									volcanic ash|ash							thermolysis|aerosol formation process|combustion process						thermolysis|aerosol formation process|combustion process		
ENVO_01000710																					flooding	flooding									flood							flooding						flooding		
ENVO_01000711																					flooding|coastal flooding	flooding|coastal flooding									coastal flood|flood							flooding|coastal flooding						flooding|coastal flooding		
ENVO_01000712														river							flooding|riverine flooding	flooding|riverine flooding									flood|riverine flood					river		flooding|riverine flooding						flooding|riverine flooding		
ENVO_01000713																					flooding|flash flooding	flooding|flash flooding									flash flood|flood							flooding|flash flooding						flooding|flash flooding		
ENVO_01000714																					flooding|coastal flooding|storm surge process	flooding|coastal flooding|storm surge process									coastal flood|storm surge|flood							flooding|coastal flooding|storm surge process						flooding|coastal flooding|storm surge process		
ENVO_01000722																					melting|hydrological melting process	melting|hydrological melting process									meltwater							melting|hydrological melting process						melting|hydrological melting process		
ENVO_01000731											igneous rock																	igneous rock			igneous extrusion|volcanic feature					igneous rock			igneous rock							
ENVO_01000732											sedimentary rock										rock-precursor intrusion process	rock-precursor intrusion process						sedimentary rock			sedimentary intrusion|clastic dike|rock intrusion|dike|intrusion					sedimentary rock		rock-precursor intrusion process	sedimentary rock					rock-precursor intrusion process		
ENVO_01000733											igneous rock										rock-precursor intrusion process|igneous intrusion process	rock-precursor intrusion process|igneous intrusion process						igneous rock			stock|rock intrusion|igneous intrusion|intrusion					igneous rock		rock-precursor intrusion process|igneous intrusion process	igneous rock					rock-precursor intrusion process|igneous intrusion process		
ENVO_01000734																					rock-precursor intrusion process	rock-precursor intrusion process									laccolith|rock intrusion|intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000735																					rock-precursor intrusion process	rock-precursor intrusion process									lopolith|rock intrusion|intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000736																					rock-precursor intrusion process	rock-precursor intrusion process									phacolith|rock intrusion|intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000737																					rock-precursor intrusion process	rock-precursor intrusion process									sill|rock intrusion|intrusion							rock-precursor intrusion process						rock-precursor intrusion process		
ENVO_01000739																															habitat															
ENVO_01000740		atmospheric boundary layer|boundary layer																													fiat part of an astronomical object|area of perennial ice or snow|area of perennial water ice					cryosphere|cryoform|water ice layer|cryospheric layer|atmospheric boundary layer|boundary layer			cryosphere|cryoform|water ice layer|cryospheric layer	cryosphere|cryoform|water ice layer|cryospheric layer					atmospheric boundary layer|boundary layer	
ENVO_01000744																															human dwelling|domestic building													usage of an environment for residential activity		
ENVO_01000745		atmospheric boundary layer|boundary layer																													fiat part of an astronomical object|area of perennial ice or snow|area of perennial snow					fiat part of an astronomical object|area of perennial ice or snow|atmospheric boundary layer|boundary layer			fiat part of an astronomical object|area of perennial ice or snow	fiat part of an astronomical object|area of perennial ice or snow					atmospheric boundary layer|boundary layer	
ENVO_01000746		atmospheric boundary layer|boundary layer																													fiat part of an astronomical object|area of perennial ice or snow					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_01000747		planetary crust																										dust			regolith					planetary crust|dust			dust						planetary crust	
ENVO_01000748																															continental crust					planetary crust			planetary crust	planetary crust						
ENVO_01000749																															oceanic crust					planetary crust			planetary crust	planetary crust						
ENVO_01000750																															Mohorovicic discontinuity															
ENVO_01000751																															bedrock															
ENVO_01000752		atmospheric boundary layer|boundary layer																													area of barren land					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_01000754		ice cave																													cryoform|fumarole-derived ice tower					ice cave									ice cave	
ENVO_01000755																															gaseous astronomical body part|aeroform															
ENVO_01000762																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|sparsely populated settlement															
ENVO_01000763																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|sparsely populated settlement|rural settlement					anthropised terrestrial environmental zone|rural area			anthropised terrestrial environmental zone|rural area	anthropised terrestrial environmental zone|rural area						
ENVO_01000764																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|formal settlement															
ENVO_01000765																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|informal settlement															
ENVO_01000766																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|legal settlement															
ENVO_01000767																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|illegal settlement															
ENVO_01000768																															primary forest															
ENVO_01000770																						carbon-bearing gas emission process|gas emission process|hydrocarbon gas emission process|carbon dioxide emission process									carbon dioxide emission|atmospheric carbon dioxide							carbon-bearing gas emission process|gas emission process|hydrocarbon gas emission process|carbon dioxide emission process						carbon-bearing gas emission process|gas emission process|hydrocarbon gas emission process|carbon dioxide emission process		
ENVO_01000771																															road|transport feature|constructed pavement|all season road													usage of an environment for transportation		
ENVO_01000772																															anthropised terrestrial environmental zone|rural area															
ENVO_01000773																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|village															
ENVO_01000774											oligotrophic water																	oligotrophic water			oligotrophic lake					oligotrophic water			oligotrophic water							
ENVO_01000775											mesotrophic water																	mesotrophic water			mesotrophic lake					mesotrophic water			mesotrophic water							
ENVO_01000778																															fiat part of an astronomical object|protected area|area of protected biodiversity|key biodiversity area															
ENVO_01000779																															public infrastructure													usage of an environment for infrastructure and utilities		
ENVO_01000780																															road|transport feature|constructed pavement|public road					public infrastructure			public infrastructure	public infrastructure				usage of an environment for transportation		
ENVO_01000781																															public building					public infrastructure			public infrastructure	public infrastructure						
ENVO_01000782																															utility line					public infrastructure			public infrastructure	public infrastructure				usage of an environment for infrastructure and utilities		
ENVO_01000783																															utility line|public utility line					public infrastructure			public infrastructure	public infrastructure				usage of an environment for infrastructure and utilities		
ENVO_01000784																															animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|informal settlement|illegal informal settlement															
ENVO_01000789																															flame															
ENVO_01000790																						thermolysis|aerosol formation process|combustion process									flame|hydrocarbon flame							thermolysis|aerosol formation process|combustion process						thermolysis|aerosol formation process|combustion process		
ENVO_01000798																															plasma															
ENVO_01000810																															planetary atmosphere															
ENVO_01000811																															planetary atmosphere|nitrogen-oxygen planetary atmosphere															
ENVO_01000812											piece of rock																	piece of rock			desert pavement					desert|piece of rock			desert|piece of rock	desert						
ENVO_01000816		atmospheric boundary layer|boundary layer																													area of deciduous forest					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_01000820																																				lithosphere			lithosphere							
ENVO_01000821																															photosphere					star			star	star						
ENVO_01000822																															planetary photic zone															
ENVO_01000823																															illuminated biosphere part															
ENVO_01000824																															exorheic lake															
ENVO_01000825																															eaves															
ENVO_01000826																															eaves|open eaves															
ENVO_01000827																															eaves|closed eaves															
ENVO_01000828																															humid air															
ENVO_01000829																															humid air|water vapour saturated air															
ENVO_01000838																					thermolysis|combustion process|aerosol formation process	thermolysis|aerosol formation process|combustion process									aerosol|smoke							thermolysis|aerosol formation process|combustion process						thermolysis|aerosol formation process|combustion process		
ENVO_01000842											aerosol|smoke|aerosolised liquids|atmospheric aerosol|fog											condensation process|material congelation process						aerosol|smoke|aerosolised liquids|fog|atmospheric aerosol			aerosol|aerosolised liquids|fog|atmospheric aerosol|smog					aerosol|smoke|aerosolised liquids|fog|atmospheric aerosol		condensation process|material congelation process	aerosol|smoke|aerosolised liquids|atmospheric aerosol|fog					condensation process|material congelation process		
ENVO_01000843		atmospheric boundary layer|boundary layer																													area of evergreen forest					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_01000844																						condensation process|material congelation process									aerosol|aerosolised liquids|fog|atmospheric aerosol							condensation process|material congelation process						condensation process|material congelation process		
ENVO_01000845																															crystal															
ENVO_01000846																															water ice crystal|crystal															
ENVO_01000847																															hair ice			forest biome|broadleaf forest biome|broadleaf forest												
ENVO_01000848																															flower strip															
ENVO_01000849		field|agricultural field																													flower strip|flower-rich field margin strip					field|agricultural field									field|agricultural field	
ENVO_01000850																															crystal|clathrate material															
ENVO_01000851																															crystal|clathrate material|methane clathrate															
ENVO_01000853																															marl															
ENVO_01000854							marine reef|reef		marine reef|reef	marine reef|reef								marine reef|reef	marine reef|reef												aquatic biome|marine biome|tropical biome|tropical environment|marine benthic biome|marine ecosystem|tropical marine coral reef biome|marine coral reef biome|marine reef biome					marine reef|reef			marine reef|reef	marine reef|reef						
ENVO_01000855		atmospheric boundary layer|boundary layer																													area of mixed forest					mixed forest|atmospheric boundary layer|boundary layer			mixed forest						atmospheric boundary layer|boundary layer	
ENVO_01000856			temperate																					temperate					temperate		aquatic biome|marine biome|marine ecosystem|temperate environment|temperate biome|temperate marginal sea biome|marginal sea biome															
ENVO_01000857			subtropical|mediterranean																					subtropical|mediterranean					subtropical|mediterranean		aquatic biome|marine biome|marine ecosystem|mediterranean biome|temperate mediterranean sea biome|mediterranean sea biome|subtropical environment|subtropical biome															
ENVO_01000858																															aquatic biome|marine biome|marine ecosystem|marine upwelling biome					ocean|ocean current|marine current|upwelling|water current			ocean|ocean current|marine current|upwelling|water current							
ENVO_01000859																															aquatic biome|marine biome|tropical biome|tropical environment|marine ecosystem|marine upwelling biome|tropical marine upwelling biome					ocean|ocean current|marine current|upwelling|water current			ocean|ocean current|marine current|upwelling|water current							
ENVO_01000860			temperate																					temperate					temperate		aquatic biome|marine biome|marine ecosystem|temperate environment|temperate biome|marine upwelling biome|temperate marine upwelling biome					ocean|ocean current|marine current|upwelling|water current			ocean|ocean current|marine current|upwelling|water current							
ENVO_01000861		atmospheric boundary layer|boundary layer																													area of dwarf scrub|bush area					scrubland area|atmospheric boundary layer|boundary layer			scrubland area	scrubland area					atmospheric boundary layer|boundary layer	
ENVO_01000862																															fluid surface layer|liquid surface layer|liquid air-water interface layer|turbulent aquatic surface layer															
ENVO_01000863																															overflow structure															
ENVO_01000864																															mouth|mouth of liquid discharge conduit															
ENVO_01000865																															electric power system															
ENVO_01000866																												solar panel array			electric power system|photovoltaic system					solar panel array			solar panel array							
ENVO_01000867																															solar panel array															
ENVO_01000868																															solar panel array|domestic solar panel array					human dwelling|domestic building			human dwelling|domestic building	human dwelling|domestic building						
ENVO_01000869		atmospheric boundary layer|boundary layer																													area of scrub|bush area					scrubland area|atmospheric boundary layer|boundary layer			scrubland area	scrubland area					atmospheric boundary layer|boundary layer	
ENVO_01000871																															puddle of water															
ENVO_01000872																															ballast water			ballast tank												
ENVO_01000873																															ballast tank															
ENVO_01000883		atmospheric boundary layer|boundary layer																													anthropised terrestrial environmental zone|area of developed open space					dense settlement|animal-associated environment|dense settlement biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|atmospheric boundary layer|boundary layer			dense settlement|animal-associated environment|dense settlement biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement	dense settlement|animal-associated environment|dense settlement biome|environmental system determined by an organism|human settlement|environment associated with an animal part or small animal					atmospheric boundary layer|boundary layer	
ENVO_01000884		atmospheric boundary layer|boundary layer																													anthropised terrestrial environmental zone|area of developed space|area of developed space with low usage intensity					dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|atmospheric boundary layer|boundary layer			dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement	dense settlement|animal-associated environment|dense settlement biome|urban biome|environmental system determined by an organism|human settlement|environment associated with an animal part or small animal					atmospheric boundary layer|boundary layer	
ENVO_01000885		atmospheric boundary layer|boundary layer																													anthropised terrestrial environmental zone|area of developed space|area of developed space with medium usage intensity					dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|atmospheric boundary layer|boundary layer			dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement	dense settlement|animal-associated environment|dense settlement biome|urban biome|environmental system determined by an organism|human settlement|environment associated with an animal part or small animal					atmospheric boundary layer|boundary layer	
ENVO_01000886		atmospheric boundary layer|boundary layer																													anthropised terrestrial environmental zone|area of developed space|area of developed space with high usage intensity					dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|atmospheric boundary layer|boundary layer			dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement	dense settlement|animal-associated environment|dense settlement biome|urban biome|environmental system determined by an organism|human settlement|environment associated with an animal part or small animal					atmospheric boundary layer|boundary layer	
ENVO_01000887		atmospheric boundary layer|boundary layer																													area of sedge- and forb-dominated herbaceous vegetation					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
ENVO_01000888		atmospheric boundary layer|boundary layer																													grassland area|area of gramanoid or herbaceous vegetation					grassland ecosystem|atmospheric boundary layer|boundary layer			grassland ecosystem						atmospheric boundary layer|boundary layer	
ENVO_01000889		atmospheric boundary layer|boundary layer																													area of lichen-dominated vegetation					tundra biome|tundra ecosystem|atmospheric boundary layer|boundary layer			tundra biome|tundra ecosystem	tundra biome|tundra ecosystem					atmospheric boundary layer|boundary layer	
ENVO_01000890		atmospheric boundary layer|boundary layer																													area of moss-dominated vegetation					atmospheric boundary layer|boundary layer									atmospheric boundary layer|boundary layer	
