class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002129,anaerobic sludge,,,,,,,,,,,ENVO_00002044,,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,,,anthropogenic environmental process,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,anaerobic|sensitivity toward|sensitivity to oxygen,,sludge|anaerobic sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002133,anaerobic mud,,,Mud which has no or neglible concentrations of dissolved oxygen.,,,anoxic mud,,,,,ENVO_01000001,,anaerobic|sensitivity toward|sensitivity to oxygen,,,,,,,,anaerobic|sensitivity toward|sensitivity to oxygen,,,,soil|liquid water|clay|sand|silt,anaerobic|sensitivity toward|sensitivity to oxygen,,mud|anaerobic mud,,soil|pedosphere|clay|sand|liquid water|silt,,soil|pedosphere|clay|liquid water|sand|silt,,,,,
ENVO_00002134,anaerobic stream sediment,,,,,,,,,,,ENVO_00002045; ENVO_00002127,stream,porous|granular|anaerobic|porosity|sensitivity toward|sensitivity to oxygen,,,,,,,,porous|porosity|granular|anaerobic|sensitivity toward|sensitivity to oxygen,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|anaerobic stream sediment|anaerobic sediment|stream sediment,,stream,,,,,,,
ENVO_00002135,treated wood,,,,,,,,,,,ENVO_00002040,,,,,,,,,,,,,,,,,wood|treated wood,,,,,,,,,
ENVO_00002136,arsenate treated wood,,,,,,,,,,,ENVO_00002135,,,,,,,,,,,,,arsenate(3-)|arsenic molecular entity|arsenate ion,arsenic molecular entity|arsenate(3-)|arsenate ion,,,wood|arsenate treated wood|treated wood,,arsenate(3-)|arsenic molecular entity|arsenate ion,,arsenate(3-)|arsenic molecular entity|arsenate ion,,,,,
ENVO_00002138,beach sand,,,,,,,,,,,ENVO_01000813; ENVO_01000017,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,granular,,sand|beach sand,,shore|beach|coast|sandy beach|landform|surface landform,,shore|beach|coast|sandy beach|landform|surface landform,shore|beach|coast|sandy beach|landform|surface landform,,,,
ENVO_00002141,leachate,,,"The liquid produced when water percolates through any permeable material. It can contain either dissolved or suspended material, or usually both.",,,,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|leachate,,,,,,,,,
ENVO_00002142,borax leachate,,,,,,,,,,,ENVO_00002141,,,,,,,,,,,,,,,,,liquid water|leachate|borax leachate,,,,,,,,,
ENVO_00002145,chromate contaminated soil,,,Soil which has elevated concentrations of chromate.,,,,,,,,ENVO_00003081,,porous|porosity,,,,,,,,porous|porosity,,,coordination entity|transition element coordination entity|chromate(2-)|chromium molecular entity|divalent inorganic anion|chromium coordination entity,clay|sand|silt|transition element coordination entity|coordination entity|metal allergen|chromate(2-)|chromium molecular entity|divalent inorganic anion|chromium coordination entity,porous|porosity,,soil|enriched soil|metal contaminated soil|chromate contaminated soil|contaminated soil,,pedosphere|clay|sand|silt|coordination entity|transition element coordination entity|metal allergen|chromate(2-)|chromium molecular entity|divalent inorganic anion|chromium coordination entity,,pedosphere|clay|sand|silt|coordination entity|transition element coordination entity|metal allergen|chromate(2-)|chromium molecular entity|divalent inorganic anion|chromium coordination entity,pedosphere,,,,
ENVO_00002146,xylene contaminated soil,,,Soil which has elevated concentrations of xylene.,,,,,,,,ENVO_00002116,,porous|porosity,,,,,,,,porous|porosity,,,volatile organic compound|aromatic compound|organic aromatic compound|benzenes|xylene|methylbenzene|cyclic hydrocarbon|arene,clay|sand|silt|volatile organic compound|organic aromatic compound|benzenes|xylene|methylbenzene|cyclic hydrocarbon|arene|aromatic compound,porous|porosity,,soil|enriched soil|contaminated soil|xylene contaminated soil,,pedosphere|sand|clay|silt|volatile organic compound|aromatic compound|organic aromatic compound|benzenes|xylene|methylbenzene|cyclic hydrocarbon|arene,,pedosphere|clay|sand|silt|volatile organic compound|organic aromatic compound|benzenes|xylene|methylbenzene|cyclic hydrocarbon|arene|aromatic compound,pedosphere,,,,
