class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_02000037,sebum material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of sebum, an oily bodily fluid secreted from the sebaceous glads that is made of fat (lipids) and the debris of dead fat-producing cells. In the glands, sebum is produced within specialized cells and is released as these cells burst. Sebum acts to protect and waterproof hair and skin, and keep them from becoming dry, brittle and cracked. It can also inhibit the growth of microorganisms on skin.",,,,,,,,ENVO_02000019,,,sweat|cerumen|sebum,,,,,,,,,,,sweat|lipid|cerumen|squalene|triterpene|sebum|isoprenoid|terpene,,,bodily fluid material|sebum material,,sweat|cerumen|lipid|squalene|triterpene|sebum|isoprenoid|terpene,,sweat|lipid|cerumen|squalene|triterpene|sebum|isoprenoid|terpene,,,,,
ENVO_02000038,pus material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of pus, a bodily fluid consisting of a whitish-yellow or yellow substance produced during inflammatory responses of the body that can be found in regions of pyogenic bacterial infections. Pus is produced from the dead and living cells which travel into the intercellular spaces around the affected cells.",,,,,,,,ENVO_02000019,,,sweat|cerumen|pus,,,,,,,,,,,sweat|cerumen|pus,,,bodily fluid material|pus material,,sweat|cerumen|pus,,sweat|cerumen|pus,,,,,
ENVO_02000039,synovial fluid material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of synovial fluid, a bodily fluid secreted by the synovial membrane into the joint cavity to form a thin layer at the surface of cartilage.",,,,,,,,CARO_0000000; ENVO_02000019,,,sweat|cerumen|synovial fluid|transudate|secretion of serous gland,,,,embryo development|embryonic cleavage,,,,blood|haemolymphatic fluid|blood plasma|hemolymphoid system|lateral plate mesoderm|blood island|epiblast (generic)|presumptive blood|presumptive mesoderm|cleaving embryo|germ layer / neural crest|embryo|mesoderm|mesenchyme|animal material|animal egg|blastula|germ layer|animal substance,,,sweat|carbohydrates and carbohydrate derivatives|glycan|cerumen|synovial fluid|transudate|secretion of serous gland|carbohydrate derivative|hyaluronic acid|glycosaminoglycan|aminoglycan,,,bodily fluid material|synovial fluid material,,sweat|cerumen|glycan|carbohydrates and carbohydrate derivatives|transudate|secretion of serous gland|synovial fluid|carbohydrate derivative|hyaluronic acid|glycosaminoglycan|aminoglycan,,sweat|cerumen|carbohydrates and carbohydrate derivatives|glycan|synovial fluid|transudate|secretion of serous gland|carbohydrate derivative|hyaluronic acid|glycosaminoglycan|aminoglycan,,,,embryo development|embryonic cleavage,
ENVO_02000040,mucus material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of mucus, a bodily fluid consisting of a slippery secretion of the lining of the mucous membranes in the body. It is a viscous colloid containing antiseptic enzymes (such as lysozyme) and immunoglobulins. Mucus is produced by goblet cells in the mucous membranes that cover the surfaces of the membranes. It is made up of mucins and inorganic salts suspended in water.",,,,,,,,ENVO_02000019,,,sweat|cerumen|mucus,,,,,,,,,,,sweat|carbohydrates and carbohydrate derivatives|glycan|cerumen|mucus|carbohydrate derivative|glycosaminoglycan|aminoglycan,,,bodily fluid material|mucus material,,sweat|cerumen|glycan|carbohydrates and carbohydrate derivatives|carbohydrate derivative|mucus|glycosaminoglycan|aminoglycan,,sweat|cerumen|carbohydrates and carbohydrate derivatives|glycan|carbohydrate derivative|mucus|glycosaminoglycan|aminoglycan,,,,,
ENVO_02000041,lymph material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of lymph, a bodily fluid consisting of a usually clear coagulable fluid that passes from intercellular spaces of body tissue into the lymphatic vessels, is discharged into the blood by way of the thoracic duct and right lymphatic duct, and resembles blood plasma in containing white blood cells and especially lymphocytes but normally few red blood cells and no platelets.",,,,,,,,CARO_0000000; ENVO_02000019,,,haemolymphatic fluid|sweat|cerumen|lymph,,,,,,,,interstitial fluid,,,haemolymphatic fluid|sweat|cerumen|lymph,,,bodily fluid material|lymph material,,haemolymphatic fluid|sweat|cerumen|lymph|circulatory system|immune system|hemolymphoid system|non-connected functional system|lymphatic part of lymphoid system|lymphoid system,,haemolymphatic fluid|sweat|cerumen|lymph|circulatory system|immune system|hemolymphoid system|non-connected functional system|lymphatic part of lymphoid system|lymphoid system,,,,,
ENVO_02000042,interstitial fluid material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of interstitial fluid, a bodily fluid consisting of a solution which bathes and surrounds the cells of multicellular animals. It is the main component of the extracellular fluid, which also includes plasma and transcellular fluid.",,,intercellular fluid material; tissue fluid material,,,,,ENVO_02000019,,,sweat|cerumen|interstitial fluid,,,,,,,,,,,sweat|cerumen|interstitial fluid,,,bodily fluid material|interstitial fluid material,,sweat|cerumen|interstitial fluid,,sweat|cerumen|interstitial fluid,,,,,
ENVO_02000044,siliceous ooze,,,"Siliceous ooze is a marine sediment composed of the debris of plankton with silica shells, such as diatoms and radiolaria. This ooze is limited to areas with high biological productivity, such as the polar oceans, and upwelling zones near the equator. The least common type of sediment, it covers only 15% of the ocean floor. It accumulates at a slower rate than calcareous ooze: 0.2-1 cm / 1000 yr.",,,,,,,envoPolar,ENVO_01000082,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|siliceous ooze|biogenous sediment,,,,,,,,,
ENVO_02000045,red clay,,,"Red clay, also known as pelagic clay, accumulates in the deepest and most remote areas of the ocean. Containing less than 30% biogenic material, its composition is a varied mix of very fine quartz and clay minerals, authigenic deposits precipitated directly from seawater, and micrometeorites. Though called ""red"" because it sometimes takes the color of oxidized iron minerals, it is usually brownish in color. Its ultimate origin is uncertain, but red clay seems to be mostly derived from distant rivers, and windblown dust. Covering 38% of the ocean floor, it accumulates more slowly than any other sediment type, at only 0.1-0.5 cm / 1000 yr.",,,,,,,,ENVO_01000082,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|red clay|biogenous sediment,,,,,,,,,
ENVO_02000046,calcareous ooze,,,"Calcareous ooze is a marine sediment composed primarily of the shells--also known as tests--of foraminifera, coccolithophores, and pteropods. This is the most common pelagic sediment by area, covering 48% of the world ocean's floor. This type of ooze is limited to depths above the Carbonate Compensation Depth at time of burial. It accumulates more rapidly than any other pelagic sediment type, with a rate that varies from 0.3 - 5 cm / 1000 yr.",,,,,,,,ENVO_01000082,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|calcareous ooze|biogenous sediment,,,,,,,,,
ENVO_02000053,hide,,,"A skin obtained from animals for human use typically from deer or cattle sources used to produce leather, shoes, fashion accessories, musical instruments.",,,,,,,,ENVO_0010003,,,,,,,,,anthropogenic environmental process,,,,,,,,hide,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_02000059,surface soil,,,A soil consisting of the upper layer of soil on the surface consisting of loose material capable of supporting life composed of a mixture of mineral and organic matter.,,,topsoil,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|surface soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_02000084,goat manure,,,,,,,,,,,ENVO_00003031,,,,,,,,,,,,,,,,,goat manure|animal manure|manure,,,,,,,,,
ENVO_02000090,ash,,,"An environmental material that is the non-aqueous, non-gaseous residues that remain after something is burned.",,,,,,,,ENVO_01000814,,,,,,,,,aerosol formation process|thermolysis|combustion process,,,,,,,,ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000091,coal,,,A combustible black or brownish-black sedimentary rock usually occurring in rock strata in layers or veins called coal beds or coal seams.,,,,,,,,ENVO_00002016,,fossil fuel|fuel|combustibility|hard|increased combustibility,,,,,,,,fuel|fossil fuel|hard|combustibility|increased combustibility,,,,,hard|combustibility|increased combustibility,fuel|fossil fuel,rock|sedimentary rock|coal,,,,,,,,,
ENVO_02000094,ore,,,a type of rock that contains sufficient minerals with important elements including metals that can be economically extracted from the rock.,,,,,,,,ENVO_00001995,,hard,,,,,,,,hard,,,,,hard,,rock|ore,,,,,,,,,
ENVO_02000095,uranium ore,,The primary uranium ore mineral is uraninite,Ore which contains uranium.,,,,,,,,ENVO_02000094,,hard,,,,,,,,hard,,,,uranium molecular entity,hard,,rock|ore|uranium ore,,uranium molecular entity,,uranium molecular entity,,,,,
ENVO_02000096,iron ore,,,,,,,,,,,ENVO_02000094,,hard,,,,,,,,hard,,,,iron molecular entity,hard,,rock|ore|iron ore,,iron molecular entity,,iron molecular entity,,,,,
ENVO_02000097,gold ore,,,,,,,,,,,ENVO_02000094,,hard,,,,,,,,hard,,,,gold molecular entity,hard,,rock|ore|gold ore,,gold molecular entity,,gold molecular entity,,,,,
ENVO_02000098,platinum ore,,,,,,,,,,,ENVO_02000094,,hard,,,,,,,,hard,,,,platinum|platinum molecular entity,hard,,rock|ore|platinum ore,,platinum|platinum molecular entity,,platinum|platinum molecular entity,,,,,
ENVO_02000099,coal dust,,,Dust which is derived from coal.,,,,,,,,ENVO_00002008,,dry|granular,,,rock|sedimentary rock|coal,,,,,dry|granular,,,,,dry|granular,,dust|coal dust,,,,,,,,,
ENVO_02000100,mineral dust,,,Dust which is derived from mineral material.,,,,,,,,ENVO_01000256; ENVO_00002008,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust,,,,,,,,,
ENVO_02000101,fibrous dust,,,Dust which is composed of fibrous material.,,,,,,,,ENVO_00002008,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|fibrous dust,,,,,,,,,
ENVO_02000102,fibrous glass dust,,,,,,,,,,,ENVO_02000101,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|fibrous glass dust|fibrous dust,,,,,,,,,
ENVO_02000103,metallic dust,,,Dust which is composed primarily of some metallic material.,,,,,,,,ENVO_00002008,,dry|granular,metallic material,,metallic material,,,,,dry|granular,,,,metallic material,dry|granular,,dust|metallic dust,,metallic material,,metallic material,,,,,
ENVO_02000104,cement dust,,,,,,,,,,,ENVO_00002008,,dry|granular,,,masonry cement,,,,,dry|granular,,,,,dry|granular,,dust|cement dust,,,,,,,,,
ENVO_02000105,clay dust,,,Dust which is derived from clay material.,,,,,,,,ENVO_00002008,,dry|granular,,,clay,,,,,dry|granular,,,,,dry|granular,,dust|clay dust,,,,,,,,,
ENVO_02000106,asbestos dust,,Dust which is derived from asbestos,,,,,,,,,ENVO_02000101,,dry|granular,,,asbestos,,,,,dry|granular,,,,,dry|granular,,dust|asbestos dust|fibrous dust,,,,,,,,,
ENVO_02000107,grain dust,,,Dust that comes from grain and all the other substances associated with its cultivation & harvesting.,,,,,,,,ENVO_02000109,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|grain dust|dust from plant parts,,,,,,,,,
ENVO_02000108,cotton dust,,,,,,,,,,,ENVO_02000109,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|cotton dust|dust from plant parts,,,,,,,,,
ENVO_02000109,dust from plant parts,,,,,,,,,,,ENVO_00002008,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|dust from plant parts,,,,,,,,,
ENVO_02000111,copper ore,,,,,,,,,,,ENVO_02000094,,hard,,,,,,,,hard,,,,metal allergen|copper molecular entity,hard,,rock|ore|copper ore,,metal allergen|copper molecular entity,,metal allergen|copper molecular entity,,,,,
ENVO_02000112,fume,,,"A gas, smoke, or vapor that smells strongly or is dangerous to inhale.",,,,,,,,ENVO_01000797,,,,,,,,,,,,,,,,,fume,,,,,,,,,
ENVO_02000113,welding fume,,,,,,,,,,,ENVO_02000112,,,,,,,,,,,,,,,,,welding fume|fume,,,,,,,,,
ENVO_02000114,paraffin wax fume,,,,,,,,,,,ENVO_02000112,,,,,wax|paraffin wax,,,,,,,,,,,,fume|paraffin wax fume,,,,,,,,,
ENVO_02000115,vanadium fume,,,Respirable vapor of vanadium.,,,,,,,,ENVO_02000112,,,,,,,,,,,,,,vanadium molecular entity,,,fume|vanadium fume,,vanadium molecular entity,,vanadium molecular entity,,,,,
ENVO_02000116,aluminum welding fume,,,,,,,,,,,ENVO_02000113,,,,,,,,,,,,,,,,,aluminum welding fume|welding fume|fume,,,,,,,,,
ENVO_02000117,natural wax,,,A wax that is naturally synthesized by a plant or animal.,,,,,,,,ENVO_01000575,,,,,,,,,,,,,,,,,wax|natural wax,,,,,,,,,
ENVO_02000118,paraffin wax,,,"A white or colourless soft solid derivable from petroleum, coal or oil shale, that consists of a mixture of hydrocarbon molecules containing between twenty and forty carbon atoms.",,,,,,,,ENVO_01000575,,,,,,,,,,,,,,,,,wax|paraffin wax,,,,,,,,,
ENVO_02000119,oil shale,,,An organic-rich fine-grained sedimentary rock containing kerogen from which liquid hydrocarbons called shale oil can be produced.,,,kerogen shale,,,,,ENVO_00002056,,hard,,,,,,,,hard,,,,,hard,,rock|sedimentary rock|shale|oil shale|clastic sedimentary rock,,,,,,,,,
ENVO_02000120,zinc chloride fume,,,,,,,,,,,ENVO_02000112,,,,,,,,,,,,,,salt|halogen|zinc molecular entity|chlorine molecular entity|chlorine atom|chloride|zinc dichloride,,,fume|zinc chloride fume,,salt|halogen|zinc molecular entity|chlorine molecular entity|chloride|chlorine atom|zinc dichloride,,zinc molecular entity|salt|chlorine molecular entity|chloride|chlorine atom|halogen|zinc dichloride,,,,,
ENVO_02000123,paint,,,"Any liquid, liquefiable, or mastic composition that, after application to a substrate in a thin layer, converts to a solid film. It is most commonly used to protect, color, or provide texture to objects.",,,,,,,,ENVO_0010001; ENVO_01000815,,,,,,,,,anthropogenic environmental process,,,,,,,,paint,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_02000124,lead paint,,,Paint that contains lead.,,,,,,,,ENVO_02000123,,,,,,,,,anthropogenic environmental process,,,,,lead molecular entity,,,paint|lead paint,,lead molecular entity,anthropogenic environmental process,lead molecular entity,,,anthropogenic environmental process,,
ENVO_02000126,wood ash,,,the residue powder that is derived from the combustion of wood.,,,,,,,,ENVO_02000090,,,,,wood,,,,aerosol formation process|thermolysis|combustion process,,,,,,,,ash|wood ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000127,coal ash,,,Ash that is produced from the burning of coal.,,,coal combustion residuals,,,,,ENVO_02000090,,,,,rock|sedimentary rock|coal,,,,aerosol formation process|thermolysis|combustion process,,,,,,,,ash|coal ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000128,fly ash,,,"A very fine, powdery material composed mostly of silica made from the burning of finely ground coal in a boiler.",,,,,,,,ENVO_02000127,,,,,rock|sedimentary rock|coal,,,,aerosol formation process|thermolysis|combustion process,,,,,,,,ash|coal ash|fly ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000129,bottom ash,,,"a coarse, angular ash particle that is too large to be carried up into the smoke stacks so it forms in the bottom of the coal furnace.",,,,,,,,ENVO_02000127,,,,,rock|sedimentary rock|coal,,,,aerosol formation process|combustion process|thermolysis,,,,,,,,ash|coal ash|bottom ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000130,boiler slag,,,molten bottom ash from slag tap and cyclone type furnaces that turns into pellets that have a smooth glassy appearance after it is cooled with water.,,,,,,,,ENVO_02000127,,,,,rock|sedimentary rock|coal,,,,aerosol formation process|combustion process|thermolysis,,,,,,,,ash|boiler slag|coal ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000131,flue gas desulfurization material,,,a material leftover from the process of reducing sulfur dioxide emissions from a coal-fired boiler that can be a wet sludge consisting of calcium sulfite or calcium sulfate or a dry powered material that is a mixture of sulfites and sulfates.,,,,,,,,ENVO_02000127,,,,,rock|sedimentary rock|coal,,,,aerosol formation process|combustion process|thermolysis,,,,,,,,ash|coal ash,,,aerosol formation process|combustion process|thermolysis,,,,aerosol formation process|thermolysis|combustion process,,
ENVO_02000138,mangrove biome soil,,"Mangrove soils are typically saline, anoxic, acidic and frequently waterlogged.",Soil which is located in a mangrove biome.,,,mangrove soil,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|mangrove biome soil,terrestrial biome|terrestrial ecosystem|mangrove biome,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_02000140,fluid environmental material,,,An environmental material which is unable to resist shear forces and continuously deforms when subject to them.,,,,fluid,,,,ENVO_00010483,,,,,,,,,,,,,,,,,,,,,,,,,,
ENVO_03000000,neve,,Névé that survives a full season of ablation turns into firn.,"Partially compacted granular snow, which has undergone several cycles of melting and refreezing while being compacted, usually found on the atmosphere-exposed surface of a glacier.",,,névé,,,,envoPolar,ENVO_01000406,,granular,ice|water ice|object aggregate,,snow|powdery snow,,,,snowfall|precipitation process,granular,,,,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|water vapour|snow crystal|diatomic nitrogen,granular,,snow|neve,,ice|water ice|dioxygen|carbon oxide|carbon dioxide|dinitrogen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen|diatomic oxygen,snowfall|precipitation process,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen,,,snowfall|precipitation process,,
ENVO_03000002,firn,,Firn derives from névé which has survived a full season of ablation and has undergone a metamorphic transition.,Granular snow which contains a proportion of fused granules formed through melting and re-thawing while being compacted by the weight of overlying material and which contains interconnected gaseous pores.,,,,,,,envoPolar,ENVO_01000406,,granular,ice|water ice|object aggregate,,snow,,,,snowfall|precipitation process,granular,,,,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|water vapour|snow crystal|diatomic nitrogen,granular,,snow|firn,,ice|water ice|dioxygen|carbon oxide|carbon dioxide|dinitrogen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen|diatomic oxygen,snowfall|precipitation process,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen,,,snowfall|precipitation process,,
ENVO_03000004,glacial ice,,,Any water ice that is part of a glacier.,"It is suggested that users complement this term with ice terms that are more descriptive of the ice itself, rather than its location/parthood.",,,,,,envoPolar,ENVO_01000277,,,,,,,,,,,,,,,,,water ice|ice|glacial ice,,glacier,,glacier,glacier,,,,
ENVO_03000005,erosionally enriched glacial ice,,,Glacial ice which contains material liberated during a glacial erosion process.,,,,,,,envoPolar,ENVO_03000004; ENVO_03000025,,,,,,,,,glacial process|erosion|glacial erosion process|planetary erosion,,,,,,,,water ice|ice|glacial ice|erosionally enriched glacial ice|erosionally enriched ice,,glacier,glacial process|erosion|glacial erosion process|planetary erosion,glacier,glacier,,glacial process|erosion|glacial erosion process|planetary erosion,,
ENVO_03000007,blue ice,,The blue 'appearance' is to be understood as that within the visual range of humans.,"Water ice containing little to no air bubbles resulting in a reduction of internal light scattering and, given sufficient volume, a blue appearance.",,,,,,,envoPolar,ENVO_01000277,,blue|optical quality|quality of interaction of a substance with electromagnetic radiation|color,,,,,,,,blue|optical quality|quality of interaction of a substance with electromagnetic radiation|color,,,,,quality of interaction of a substance with electromagnetic radiation|blue|optical quality|color,,water ice|ice|blue ice,,,,,,,,,
ENVO_03000021,soot,,,Particulate environmental material which is composed primarily of carbon particles formed through the incomplete combustion of hydrocarbons.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,envoPolar,ENVO_01000060,,granular,,,,,,,,granular,,,,,granular,,soot,,,,,,,,,
ENVO_03000025,erosionally enriched ice,,,Water ice which contains material liberated during an erosion process.,,,,,,,envoPolar,ENVO_01000277,,,,,,,,,,,,,,,,,water ice|ice|erosionally enriched ice,,,,,,,,,
ENVO_03000027,powdery snow,,Described as having a fluffy appearance.,Uncompacted snow containing trapped atmospheric gases.,,,,,,,envoPolar,ENVO_01000406,,,ice|water ice|object aggregate,,,,,,snowfall|precipitation process,,,,,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|water vapour|snow crystal|diatomic nitrogen,,,snow|powdery snow,,ice|water ice|dioxygen|carbon oxide|carbon dioxide|dinitrogen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen|diatomic oxygen,snowfall|precipitation process,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen,,,snowfall|precipitation process,,
ENVO_03000033,marine sediment,,"Particles of marine sediment are primarily generated by 1) processes in terrestrial systems and transported to the marine realm by the action of rivers or aeolian processes (amongst other routes) , 2) marine organisms, 3) chemical processes in seawater, or 4) cosmogeneous input.","Sediment which has been transported through the marine water column, settling on the seafloor.",,,marine sediments,,,,envoPolar,ENVO_00002007,marine water body,porous|granular|porosity,,,,,,,sedimentation in a water body|material accumulation process,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|marine sediment,,marine water body,sedimentation in a water body|material accumulation process,,,,sedimentation in a water body|material accumulation process,,
ENVO_03000034,shallow marine sediment,,,"Marine sediment soured from either terrestrial systems, marine organisms, seawater and or cosmogeneous sources, which is transported through the marine water column, and accumulates within shallow regions of the oceanic basin close to continents, such as the continental shelf, or continental slope.","In this definition we refer to sedimentation processes that occured above the shelf, however this should be relaxed to include the continental shelf and slope.; output of sedimentation process which occured in neritic zone biome",,shallow marine sediments,,neritic marine sediment,,envoPolar,ENVO_03000033,marine water body|landform|continental shelf|slope,porous|granular|porosity,,,,,,,sedimentation in a water body|material accumulation process,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|shallow marine sediment|marine sediment,,marine water body|landform|continental shelf|slope,sedimentation in a water body|material accumulation process,,,,sedimentation in a water body|material accumulation process,,
ENVO_03000038,cryoconite deposit,,,"Particulate environmental material which is composed primarily of dust, rock, and soot, as well as the microbial communities associated with these materials, deposited on an ice mass by an aeolian process.","Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.; This actually is formed as a result of an accumulation process involving the constituents of cryoconite. When their semantics are more stable, we can axiomatise this fully.",,,,,,envoPolar,ENVO_01000060,,granular,,,,,,,aeolian transport process,granular,,,,soot|rock|dust,granular,,cryoconite deposit,,rock|soot|dust,aeolian transport process,soot|rock|dust,,,aeolian transport process,,
ENVO_03000046,frazil ice,,"Typically 3 to 4 millimeters in diameter. These new ice classes refer to both marine water and fresh water ice. If using this term for annotation, use it in conjunction with another envo term to express whether the ice is in a marine, freshwater, or other system.",New ice which is composed frazil which has congealed into a thin sheet.,"Needs to have axioms added pertaining to the semantics of colloids and suspensions once they have been resolved see: https://github.com/pato-ontology/pato/issues/91#issuecomment-290711238

Currently the new ice classes are not specific to sea water as they may form in non marine systems, but it would be good to confirm this especially for frazil ice.",,,,,,envoPolar,ENVO_03000063,,occurrence|decreased quality|decreased size|continuous|temporal distribution quality|laminar,ice|water ice|new ice|frazil,,,,,,new ice formation process|water ice formation process,occurrence|decreased quality|decreased size|continuous|temporal distribution quality|laminar,,,,water ice|ice|frazil|new ice,occurrence|decreased quality|decreased size|continuous|temporal distribution quality|laminar,,water ice|ice|frazil ice|new ice,,ice|water ice|new ice|frazil,new ice formation process|water ice formation process,water ice|ice|new ice|frazil,,liquid water,new ice formation process|water ice formation process,,
ENVO_03000063,new ice,,"sea ice types include frazil, grease ice, slush, and shuga. These new ice classes refer to both marine water and fresh water ice. If using this term for annotation, use it in conjunction with another envo term to express whether the ice is in a marine, freshwater, or other system.",Water ice which is formed from freezing water and is suspended in a water body.,"Currently the new ice classes are not specific to sea water as they may form in non marine systems, but it would be good to confirm this especially for frazil ice.",,,,,,envoPolar,ENVO_01000277,,,,,,,,,new ice formation process|water ice formation process,,,,,,,,water ice|ice|new ice,,,new ice formation process|water ice formation process,,,,new ice formation process|water ice formation process,,
ENVO_03000071,first year ice,,"Sea ice develops from young ice; thickness from 0.3 to 2 meters (1 to 6.6 feet).  Sea ice be subdivided into thin first-year ice (white ice), medium first-year ice, and thick first-year ice.  First-year ice is distinguished from older ice primarily by having a higher salinity. Undeformed first-year ice differs from older ice in that it is smoother and lacks refrozen melt ponds. Characteristically level where undisturbed by pressure, but where ridges occur, they  distinguished by being larger, more angular, and more porous than multiyear ridges.",Sea ice which has formed over a single freezing season.,,,,,seasonal ice,,envoPolar,ENVO_00002200,,increased size|increased thickness|thickness,,,liquid water|saline water|sea water|ice mass|ice floe|sea ice floe|young ice|cryoform,,,,first year ice formation process|sea ice formation process|water ice formation process|freezing|freezing of water into water ice,increased size|increased thickness|thickness,,,,,increased size|increased thickness|thickness,,sea ice|water ice|ice|first year ice,,,sea ice formation process|first year ice formation process|freezing of water into water ice|water ice formation process|freezing,,,,first year ice formation process|sea ice formation process|water ice formation process|freezing|freezing of water into water ice,,
ENVO_03000072,second year ice,,,"Sea ice which is thicker than first year ice, and has survived a seasonal melting process.",,,,,,,envoPolar,ENVO_00002200,,increased size|increased thickness|thickness,,,liquid water|saline water|sea water,,,,second year ice formation|sea ice formation process|water ice formation process|freezing|freezing of water into water ice,increased size|increased thickness|thickness,,,,,increased size|increased thickness|thickness,,sea ice|water ice|ice|second year ice,,,sea ice formation process|second year ice formation|freezing of water into water ice|water ice formation process|freezing,,,,second year ice formation|sea ice formation process|water ice formation process|freezing|freezing of water into water ice,,
