class,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_01000248,human construction,anthropisation,,human settlement|anthropogenic environment|dense settlement|environmental system determined by an organism|animal-associated environment|environment associated with an animal part or small animal|anthropised ecosystem|dense settlement biome,human construction,human construction
ENVO_01000249,human construction,anthropisation,,human settlement|anthropogenic environment|dense settlement|environmental system determined by an organism|animal-associated environment|environment associated with an animal part or small animal|anthropised ecosystem|dense settlement biome|urban biome,human construction,human construction
ENVO_01000250,,,subpolar,terrestrial biome|forest biome|coniferous forest biome|needleleaf forest|subpolar biome|subpolar environment|forest ecosystem|terrestrial ecosystem|subpolar coniferous forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000252,fresh water body,,,freshwater biome|aquatic biome|freshwater lake biome|aquatic ecosystem|freshwater ecosystem,liquid water|lake|freshwater lake|fresh water|fresh water body|liquid environmental material,fresh water body
ENVO_01000253,fresh water body,,,freshwater biome|aquatic biome|freshwater river biome|aquatic ecosystem|freshwater ecosystem,liquid water|river|stream|watercourse|freshwater river|fresh water|fresh water body|liquid environmental material|freshwater stream,fresh water body
ENVO_01000339,,,polar,polar biome|polar environment,,
ENVO_01000854,marine reef|marine water body|reef,,tropical,aquatic biome|marine environment|tropical marine coral reef biome|marine benthic biome|marine reef biome|marine coral reef biome|tropical environment|tropical biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|marine reef|reef,marine water body|marine reef|reef
ENVO_01000856,marine water body,,temperate,aquatic biome|marine environment|temperate biome|temperate marginal sea biome|temperate environment|marine biome|marginal sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000857,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|aquatic ecosystem|mediterranean sea biome|marine biome|temperate mediterranean sea biome|subtropical environment|subtropical biome|mediterranean biome|marine ecosystem,marine water body,marine water body
ENVO_01000858,marine water body,,,aquatic biome|marine environment|marine upwelling biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body|ocean current|marine current|upwelling|water current,marine water body
ENVO_01000859,marine water body,,tropical,aquatic biome|marine environment|marine upwelling biome|tropical marine upwelling biome|tropical environment|tropical biome|marine biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body|ocean current|marine current|upwelling|water current,marine water body
ENVO_01000860,marine water body,,temperate,temperate marine upwelling biome|aquatic biome|marine environment|temperate biome|marine upwelling biome|temperate environment|marine biome|aquatic ecosystem|marine ecosystem,marine water body|ocean|saline water body|ocean current|marine current|upwelling|water current,marine water body
ENVO_01001230,marine water body,,tropical,tropical marginal sea biome|aquatic biome|marine environment|tropical environment|tropical biome|marine biome|marginal sea biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01001369,,,,tidal mangrove shrubland|terrestrial biome|terrestrial ecosystem|shrubland biome,clay|soil|sand|particulate environmental material|organic material|mineral material|particle of sand|particle of silt|terrestrial biome|silt|particle|particle of clay|mangrove swamp|mangrove biome|coastal wetland ecosystem|sea coast|pedosphere|wetland ecosystem|coast|terrestrial ecosystem|soil surface layer|soil layer,
ENVO_01001505,,,alpine,alpine tundra biome|terrestrial biome|tundra biome|terrestrial ecosystem|tundra ecosystem|alpine biome,clay|soil|sand|particulate environmental material|organic material|mineral material|particle of sand|particle of silt|terrestrial biome|silt|vegetated area|particle|particle of clay|area of tundra|terrestrial environmental zone|tundra biome|pedosphere|tundra ecosystem|frozen land|frozen soil|terrestrial ecosystem,
ENVO_01001798,,,tropical,tropical mixed forest|tropical mixed forest biome|terrestrial biome|forest biome|mixed forest|forest ecosystem|tropical environment|terrestrial ecosystem|tropical forest|tropical biome|mixed forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01001830,,,tropical,tropical environment|tropical biome,,
ENVO_01001831,,,temperate,temperate biome|temperate environment,,
ENVO_01001832,,,subtropical,subtropical environment|subtropical biome,,
ENVO_01001833,,,mediterranean|subtropical,subtropical environment|subtropical biome|mediterranean biome,,
ENVO_01001834,,,subpolar,subpolar biome|subpolar environment,,
ENVO_01001835,,,alpine,alpine biome,,
ENVO_01001836,,,montane,montane biome,,
ENVO_01001837,,,subalpine,subalpine biome,,
ENVO_01001838,,,arid,arid biome,,
ENVO_03605008,watercourse|stream|freshwater stream|fresh water body,,,freshwater biome|aquatic biome|aquatic ecosystem|freshwater ecosystem|freshwater stream biome|freshwater stream ecosystem,stream|watercourse|fresh water body|freshwater stream,stream|watercourse|fresh water body|freshwater stream
